config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
support_confidence_high_50,block_2,source,clean_s0,43.88777946604569,65.64151987960129,48.38804569663658,0.015504714320352386,0.11159656148888031,0.19806981717129246,0.35340322774246036,0.3011535526759812,0.5602785514234321
support_confidence_high_50,block_2,target,gamma_s1,44.58766280086906,63.324921712453175,48.66152116794635,0.07882950170294278,-0.11240411257754657,0.04493203787593325,-0.1683104752980502,-0.15505179691371884,-0.2957636481858872
support_confidence_high_50,block_2,target,gamma_s2,42.78441032806943,61.354479980253906,46.623112554979386,-0.09077304056500646,-0.22041652530333522,0.009676184129175924,0.0255769726148547,-0.008281541871013598,0.2646381096133299
support_confidence_high_50,block_2,target,contrast_s1,44.592352434782626,62.83555063390382,48.73982416813657,-0.14457139875442837,-0.21167173732621336,0.08165284252293348,0.023552697819029245,-0.2073348031508493,0.15277578304824235
support_confidence_high_50,block_2,target,contrast_s2,39.45499452879239,56.901425996515655,42.92642797611041,0.6075088669984907,0.8910580841100524,1.1149414937475288,-0.28752246207556786,-0.30777399797958793,0.3036248824397514
support_confidence_high_50,block_2,target,color_cast_s1,43.85893265746548,62.201612832914655,47.15843116916756,0.08729406383607419,0.07232528835481311,-0.03902567061525586,0.05196760812076762,0.0928526776659333,0.23576919219595038
support_confidence_high_50,block_2,target,color_cast_s2,42.456619260957865,62.18957883883369,45.81320186927781,0.07941594771508353,0.07968700011559138,0.09028928936104519,0.00012752522720038684,-0.033210173567299606,0.15466608084962474
support_confidence_high_50,block_2,target,clean_s0,45.58815715716268,63.78374811516938,49.36233814112326,-0.017314039223670363,-0.10020191562487568,0.23131120199848532,0.16771997700797958,0.19549817321751206,0.4077192921883743
support_confidence_high_50,block_2,ssd,gamma_s1,29.037970754745956,47.62466799726723,30.80495966317633,0.004840523605142977,-0.061557896379732524,-0.00024851604889519763,-0.19358231584390984,-0.2190477364921728,-0.6047824677248959
support_confidence_high_50,block_2,ssd,gamma_s2,27.902300839626314,46.45306676171903,29.473781572764217,0.07260837028198464,-0.11849652996576698,-0.026005099143250332,0.11902225253970777,0.07949423299883907,0.10800345454705651
support_confidence_high_50,block_2,ssd,contrast_s1,29.489330129831217,48.35536184292058,30.77497711627367,0.029091335131842255,0.06476903629758501,-0.10834147333844135,0.06631919477733672,0.23850987333974283,-0.07277618681852394
