config,group,detector,macro_AP_delta_no_adapt,positive_conditions_no_adapt,clean_AP_delta_no_adapt,macro_AP_delta_full_hybrid,positive_conditions_full_hybrid,clean_AP_delta_full_hybrid
clip_norm_high_75,block_4,ssd,0.009649094818763027,4,-0.18094583987808832,-0.02197590425321629,2,0.013044320833538459
clip_norm_high_75,block_5,source,0.017471968445127255,3,-0.06986192616738052,-0.014048074582326264,2,-0.10582716096243505
clip_norm_high_75,block_5,target,0.0731124400903042,4,0.21103694959353492,-0.007580080167047624,3,-0.059093840008489495
clip_norm_high_75,block_5,ssd,0.0006418815399524455,2,-0.08712733679578366,-0.02379437690670135,1,-0.009327049013641009
clip_norm_low_25,aggregate,source,-0.04579211318177697,3,0.02527398522836899,-0.11297429948626259,2,0.0431846900874
clip_norm_low_25,aggregate,target,0.006887026023559099,2,-0.012545640184163931,-0.06338458095196675,1,-0.07349296091970214
clip_norm_low_25,aggregate,ssd,0.006149694553729083,4,0.025237488044460576,-0.02601103424983477,2,0.029358821723793338
clip_norm_low_25,block_1,source,0.0063833857460819194,3,-0.030679603125688404,0.060703538520866705,4,0.16304224847187299
clip_norm_low_25,block_1,target,0.022997128719364397,4,-0.05407532212354238,-0.07053998050497075,3,-0.1217119308487058
clip_norm_low_25,block_1,ssd,-0.005202260082494877,3,0.003927783723972622,-0.0006255564076666312,4,0.006215049676894235
clip_norm_low_25,block_2,source,0.011521286472452688,3,0.011748203245448563,-0.06672712594872805,1,0.34964671666755653
clip_norm_low_25,block_2,target,0.019706161541624412,4,-0.08219298439089973,-0.14234585087919602,3,0.10284103184075022
clip_norm_low_25,block_2,ssd,-0.009650565839718536,3,0.03307748659069909,-0.06502282383808271,2,0.04928305281577949
clip_norm_low_25,block_3,source,0.027529452005861654,2,-0.050377711361559996,0.01110378125065333,3,-0.10042437524184211
clip_norm_low_25,block_3,target,0.00363620793635,2,0.012786742792397776,0.0544815718227204,4,0.11177059532292422
clip_norm_low_25,block_3,ssd,-0.013672144045650167,3,0.001909826794138647,-0.0975388218855594,1,-0.07937153792468843
clip_norm_low_25,block_4,source,0.021040304352305344,3,0.017364497587485372,0.0006026889365203422,3,-0.07101891775225244
clip_norm_low_25,block_4,target,-0.013097781647914789,2,0.02572771391026185,-0.1113356815850249,2,-0.11416273849946257
clip_norm_low_25,block_4,ssd,0.014966925140991646,3,-0.014242837586170287,-0.01665807393098767,2,0.1797473231254565
clip_norm_low_25,block_5,source,0.04957096074573453,4,0.10612535868427808,0.018050917718281007,3,0.07016012388922355
clip_norm_low_25,block_5,target,0.024515984047899602,4,0.07677570681535739,-0.05617653620945221,2,-0.19335508278666702
clip_norm_low_25,block_5,ssd,0.04820229718850896,5,0.012565294740674027,0.02376603874185516,4,0.09036558252281668
clip_norm_low_50,aggregate,source,-0.04388137168176339,4,0.04597974268348293,-0.111063557986249,2,0.06389044754251394
clip_norm_low_50,aggregate,target,0.02444566301134099,4,-0.010248996537348676,-0.04582594396418486,1,-0.07119631727288689
clip_norm_low_50,aggregate,ssd,0.011389110748837953,4,0.03281463215061842,-0.0207716180547259,2,0.03693596582995118
clip_norm_low_50,block_1,source,-0.020279814208351565,3,-0.005742260043617442,0.034040338566433216,4,0.18797959155394395
clip_norm_low_50,block_1,target,0.06019915489414348,3,-0.03726594078883316,-0.033337954330191676,2,-0.10490254951399658
clip_norm_low_50,block_1,ssd,0.008387160467913471,3,0.0014992640584077233,0.012963864142741718,3,0.0037865300113293365
clip_norm_low_50,block_2,source,0.05326084267138117,4,-0.06005299603256131,-0.02498756974979958,2,0.27784551738954666
clip_norm_low_50,block_2,target,0.04142023252395507,5,-0.06186850085516116,-0.12063177989686535,3,0.12316551537648879
clip_norm_low_50,block_2,ssd,0.051518085994949524,4,0.028697116441883663,-0.0038541720034146465,3,0.04490268266696407
clip_norm_low_50,block_3,source,-0.050753329392706305,2,-0.0036666667499407612,-0.06717900014791463,3,-0.05371333063022288
clip_norm_low_50,block_3,target,-0.0006029745950310769,2,-0.008710074764134434,0.05024238929133932,4,0.090273777766392
clip_norm_low_50,block_3,ssd,0.018653770717232582,3,0.00038509877607340037,-0.06521290712267665,2,-0.08089626594275368
clip_norm_low_50,block_4,source,0.025319167330125254,4,0.058771017131192815,0.004881551914340254,3,-0.029612398208545
clip_norm_low_50,block_4,target,0.005046837545574778,3,0.029491963302030744,-0.09319106239153534,3,-0.11039848910769368
clip_norm_low_50,block_4,ssd,-0.012538691642590324,3,0.013174100142820944,-0.04416369071456964,1,0.20716426085444772
clip_norm_low_50,block_5,source,0.04329946098961442,5,0.002926036450773273,0.011779417962160902,4,-0.03303919834428126
clip_norm_low_50,block_5,target,0.007665264040690456,2,0.10856704201337997,-0.07302725621666135,1,-0.16156374758864445
clip_norm_low_50,block_5,ssd,0.026370792989991825,4,0.08028711039219094,0.001934534543338029,4,0.1580873981743336
clip_norm_low_75,aggregate,source,0.05468341438397417,5,0.02969368180867349,-0.012498771920511445,4,0.0476043866677045
clip_norm_low_75,aggregate,target,0.04127567552916304,5,0.0261727411850321,-0.02899593144636281,2,-0.03477457955050611
