config,score,orientation,nominal_coverage,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,promising_rule_met,source_macro_AP_delta_no_adapt,source_positive_conditions_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP_delta_full_hybrid,source_positive_conditions_full_hybrid,source_clean_AP_delta_full_hybrid,target_macro_AP_delta_no_adapt,target_positive_conditions_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP_delta_full_hybrid,target_positive_conditions_full_hybrid,target_clean_AP_delta_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_positive_conditions_full_hybrid,ssd_clean_AP_delta_full_hybrid,target_positive_blocks,ssd_positive_blocks
support_count_high_25,support_count,high,0.25,0.0,0.25,0.0,0.0,0.02767846899223514,0.11446350316206615,,-0.25152336662237623,0,0.0,0.08387133356192551,2,0.11398014801480283,0.03687614722030034,3,0.0,-1.7712005353253604,2,0.340441736481345,-0.05024613114547142,1,0.0,2.138753396914098,3,0.1649755546274223,1,0
support_count_high_50,support_count,high,0.5,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16201727924393103,,-0.2749132056062739,1,-0.11398014801480283,0.060481494578027796,2,0.0,-0.08060325949009924,3,-0.340441736481345,-1.88867994203576,0,0.0,-0.08699225563260683,2,-0.1649755546274223,2.1020072724269623,3,0.0,0,0
support_count_high_75,support_count,high,0.75,1.0,0.6666666666666666,0.028837466146796942,1.0,0.3149545664928155,0.23023127091194814,,-0.7355597166859527,2,-0.11398014801480283,-0.40016501650165104,1,0.0,-0.06692331745433895,4,-0.340441736481345,-1.8749999999999998,0,0.0,-0.10772890099686276,1,-0.1649755546274223,2.081270627062706,1,0.0,0,0
support_count_low_25,support_count,low,0.25,0.0,0.25,0.0,0.0,0.02767846899223514,0.11932775483243556,,-0.09075907590758991,0,0.0,0.24463562427671182,3,0.11398014801480283,1.874041716018292,1,0.0,0.06596503347263138,2,0.340441736481345,0.0,0,0.0,2.188999528059569,4,0.1649755546274223,1,0
support_count_low_50,support_count,low,0.5,0.5,0.5,0.005644868593662977,0.5,0.1742653379915282,0.19178549491577238,,-0.08869636963696192,1,-0.8415841584158396,0.2466983305473398,3,-0.7276040104010367,1.874041716018292,1,-0.4084158415841588,0.06596503347263138,2,-0.06797410510281376,-2.095780698759531,0,0.0,0.0932188293000379,3,0.1649755546274223,1,0
support_count_low_75,support_count,low,0.75,0.5,0.75,0.005644868593662977,0.5,0.1742653379915282,0.26175831758155255,,-0.16395434186275612,2,-0.8415841584158396,0.17144035832154558,2,-0.7276040104010367,1.8713698705841912,2,-0.4084158415841588,0.0632931880385305,1,-0.06797410510281376,-2.1570140826317927,1,0.0,0.03198544542777626,1,0.1649755546274223,1,0
support_confidence_high_25,support_confidence,high,0.25,0.0,0.25,0.0,0.0,0.02767846899223514,0.11927326133203071,,-0.4888613861386129,0,0.0,-0.15346668595431118,3,0.11398014801480283,-0.0009582839817075713,0,0.0,-1.8090349665273682,2,0.340441736481345,-0.014510071696824852,0,0.0,2.1744894563627444,3,0.1649755546274223,0,0
support_confidence_high_50,support_confidence,high,0.5,0.0,0.5833333333333334,0.0,0.0,0.02767846899223514,0.2147660773334792,,0.12803735730716007,3,0.0,0.4634320574914618,4,0.11398014801480283,-0.009444539510015485,1,0.0,-1.8175212220556762,1,0.340441736481345,-2.101319703670087,1,0.0,0.08767982438948237,2,0.1649755546274223,0,0
support_confidence_high_75,support_confidence,high,0.75,0.5,0.75,0.005644868593662977,0.5,0.1742653379915282,0.26124440291459905,,-0.07319526595516619,3,-0.8415841584158396,0.26219943422913555,3,-0.7276040104010367,0.026370787342534324,3,-0.4084158415841588,-1.7817058952031264,1,-0.06797410510281376,-2.151565834815558,1,0.0,0.03743369324401095,1,0.1649755546274223,1,0
support_confidence_low_25,support_confidence,low,0.25,0.0,0.25,0.0,0.0,0.02767846899223514,0.11644334049681977,,-0.26219943422913555,0,0.0,0.07319526595516619,2,0.11398014801480283,1.7817058952031264,2,0.0,-0.026370787342534324,1,0.340441736481345,-0.03743369324401095,0,0.0,2.151565834815558,4,0.1649755546274223,1,0
support_confidence_low_50,support_confidence,low,0.5,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,,-0.4634320574914618,0,-0.11398014801480283,-0.12803735730716007,1,0.0,1.8175212220556762,4,-0.340441736481345,0.009444539510015485,1,0.0,-0.08767982438948237,1,-0.1649755546274223,2.101319703670087,3,0.0,1,0
support_confidence_low_75,support_confidence,low,0.75,1.0,0.6666666666666666,0.028837466146796942,1.0,0.3149545664928155,0.23452951282767268,,0.12525181089537704,2,-0.11398014801480283,0.46064651107967886,1,0.0,1.7943967405099004,4,-0.340441736481345,-0.013679942035760284,0,0.0,-2.168262882695313,2,-0.1649755546274223,0.02073664536425592,2,0.0,1,0
