contrast,group,proxy,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,gamma_s1,agnostic_iou_mean,mean_delta,0.00016056569564301446,-0.0013569720539003214,0.0017510870960214394,199
source/global_generic-minus-no_adapt/K1,gamma_s1,agnostic_iou_mean,loss_good_proxy_good,0.18090452261306533,0.13,0.23618090452261306,199
source/global_generic-minus-no_adapt/K1,gamma_s1,agnostic_iou_mean,loss_good_proxy_bad,0.24120603015075376,0.185,0.3015075376884422,199
source/global_generic-minus-no_adapt/K1,gamma_s1,agnostic_iou_mean,loss_bad_proxy_good,0.2814070351758794,0.22,0.3434343434343434,199
source/global_generic-minus-no_adapt/K1,gamma_s1,agnostic_iou_mean,loss_bad_proxy_bad,0.2964824120603015,0.23615138190954774,0.36180904522613067,199
source/global_generic-minus-no_adapt/K1,gamma_s1,agnostic_iou_mean,ties,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s1,agnostic_iou_mean,proxy_bad_given_loss_good,0.5714285714285714,0.465905199252802,0.6829268292682927,84
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score_mean,mean_delta,-0.00035665783639206284,-0.001417645733252798,0.0007423751443629404,199
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score_mean,loss_good_proxy_good,0.19095477386934673,0.14,0.25,199
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score_mean,loss_good_proxy_bad,0.23115577889447236,0.17169559920816202,0.2914572864321608,199
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score_mean,loss_bad_proxy_good,0.25125628140703515,0.19597989949748743,0.31155778894472363,199
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score_mean,loss_bad_proxy_bad,0.32663316582914576,0.25757575757575757,0.395,199
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score_mean,ties,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score_mean,proxy_bad_given_loss_good,0.5476190476190477,0.43529411764705883,0.6521739130434783,84
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score50_mean,mean_delta,-0.0014434644801804494,-0.00589850174784267,0.0018378779395233392,199
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score50_mean,loss_good_proxy_good,0.20603015075376885,0.15073492462311558,0.2613065326633166,199
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score50_mean,loss_good_proxy_bad,0.21608040201005024,0.16161616161616163,0.2750345477386933,199
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score50_mean,loss_bad_proxy_good,0.2864321608040201,0.22443310657596371,0.35,199
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score50_mean,loss_bad_proxy_bad,0.2914572864321608,0.23112688442211055,0.35678391959798994,199
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score50_mean,ties,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score50_mean,proxy_bad_given_loss_good,0.5119047619047619,0.4084435182523714,0.6153846153846154,84
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score75_mean,mean_delta,7.211066195157785e-05,-0.005381849187448056,0.004825040532665026,190
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score75_mean,loss_good_proxy_good,0.19473684210526315,0.1405244363534519,0.25263157894736843,190
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score75_mean,loss_good_proxy_bad,0.21052631578947367,0.15622976036269431,0.27225130890052357,190
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score75_mean,loss_bad_proxy_good,0.2736842105263158,0.21051956815114709,0.3351071017826337,190
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score75_mean,loss_bad_proxy_bad,0.32105263157894737,0.2580602716468591,0.38861574009242394,190
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score75_mean,ties,0.0,0.0,0.0,190
source/global_generic-minus-no_adapt/K1,gamma_s1,tp_score75_mean,proxy_bad_given_loss_good,0.5194805194805194,0.4124816176470588,0.6329113924050633,77
