detector,case,variant,k,iou,tp_count,mean,p10,p25,median,p75,p90
source,color_cast_s2,global_generic,1,50,1183,0.7756845536291448,0.2305163234472275,0.6222902536392212,0.9362024664878845,0.9913123250007629,0.9983708262443542
source,color_cast_s2,global_generic,1,75,793,0.8401200124127192,0.3710755527019501,0.8209745287895203,0.9755460023880005,0.995381236076355,0.9989701986312867
source,color_cast_s2,global_generic,3,50,1186,0.7746251833579593,0.2337471768260002,0.6222175806760788,0.9353975653648376,0.9912946373224258,0.9983745813369751
source,color_cast_s2,global_generic,3,75,798,0.8380301117588927,0.3699998468160629,0.813464567065239,0.974262923002243,0.995217502117157,0.9989606380462647
source,color_cast_s2,det_pseudo,1,50,1185,0.7773378553395532,0.23120409846305848,0.6419079899787903,0.9373441934585571,0.9913544058799744,0.9983977198600769
source,color_cast_s2,det_pseudo,1,75,796,0.8384203277528286,0.3429456204175949,0.8183949440717697,0.9750300049781799,0.9952061772346497,0.9989419877529144
source,color_cast_s2,det_pseudo,3,50,1186,0.7783985411965023,0.2286839336156845,0.6474461108446121,0.9385581612586975,0.9913833290338516,0.998408704996109
source,color_cast_s2,det_pseudo,3,75,806,0.8374878538462793,0.3408622145652771,0.8081998378038406,0.9756686389446259,0.9951637387275696,0.9989103376865387
source,color_cast_s2,det_pseudo_clip_radius,1,50,1184,0.7746334603068897,0.2258615016937256,0.6214116662740707,0.9365352988243103,0.9913917928934097,0.9983779907226562
source,color_cast_s2,det_pseudo_clip_radius,1,75,792,0.8400995765172998,0.3695451378822327,0.8217253684997559,0.9751942157745361,0.9953537285327911,0.9989691853523255
source,color_cast_s2,det_pseudo_clip_radius,3,50,1184,0.7766868352726404,0.23656322509050376,0.6363945603370667,0.9358381628990173,0.9913542717695236,0.9984088838100433
source,color_cast_s2,det_pseudo_clip_radius,3,75,791,0.8402380861775236,0.36961397528648376,0.8217938244342804,0.9753431081771851,0.9952757060527802,0.9989677667617798
source,clean_s0,no_adapt,0,50,1230,0.7843403538158996,0.2471395716071129,0.6364659518003464,0.9407284557819366,0.9916046410799026,0.9982501029968261
source,clean_s0,no_adapt,0,75,821,0.8490020203541389,0.44256800413131714,0.8244845271110535,0.9748820066452026,0.9955400824546814,0.998920202255249
source,clean_s0,global_generic,1,50,1232,0.7849949502821576,0.25665445923805236,0.6410722136497498,0.939783126115799,0.9912688434123993,0.9982592642307282
source,clean_s0,global_generic,1,75,822,0.8479204561987352,0.4245150983333588,0.8140113651752472,0.9744344055652618,0.9955363273620605,0.9989536285400391
source,clean_s0,global_generic,3,50,1228,0.7862213458198484,0.25704613924026487,0.6470120251178741,0.9416718780994415,0.9914342910051346,0.9982774555683136
source,clean_s0,global_generic,3,75,828,0.8454819532372237,0.4236337631940842,0.8144245147705078,0.9730651676654816,0.9955007880926132,0.9989170849323272
source,clean_s0,det_pseudo,1,50,1231,0.7877228640830923,0.2621804475784302,0.6632644832134247,0.9424406886100769,0.9914900362491608,0.9982433319091797
source,clean_s0,det_pseudo,1,75,825,0.8511113710701466,0.44469113945961,0.8335161209106445,0.975844144821167,0.9955520033836365,0.9989262223243713
source,clean_s0,det_pseudo,3,50,1229,0.7924006767934711,0.27076389193534856,0.6786134243011475,0.9455644488334656,0.9917225241661072,0.9982566356658935
source,clean_s0,det_pseudo,3,75,820,0.8560125215615078,0.45456812977790834,0.8523418009281158,0.9768992066383362,0.995471253991127,0.998921686410904
source,clean_s0,det_pseudo_clip_radius,1,50,1233,0.7847553418446196,0.24964041709899903,0.6478471159934998,0.9414277672767639,0.9915522336959839,0.9982498764991761
source,clean_s0,det_pseudo_clip_radius,1,75,828,0.8494177281289644,0.42508315443992617,0.8244195133447647,0.9756052494049072,0.9954517930746078,0.998916220664978
source,clean_s0,det_pseudo_clip_radius,3,50,1232,0.7882349325416537,0.2559915900230408,0.6662057489156723,0.9431270062923431,0.9915784746408463,0.9983108878135681
source,clean_s0,det_pseudo_clip_radius,3,75,825,0.8494845182064807,0.418146824836731,0.8220110535621643,0.9749530553817749,0.9954280853271484,0.9989268898963928
target,gamma_s1,no_adapt,0,50,1217,0.5948884870394783,0.34217257499694825,0.45669159293174744,0.618471622467041,0.7283950448036194,0.8053285360336304
target,gamma_s1,no_adapt,0,75,902,0.6246335075263703,0.35870629251003266,0.5078921169042587,0.6653923988342285,0.758442297577858,0.8235226929187774
target,gamma_s1,global_generic,1,50,1213,0.5949140411463043,0.3414772927761078,0.45665860176086426,0.6186826229095459,0.7285120487213135,0.8059321403503418
target,gamma_s1,global_generic,1,75,901,0.6252550645323096,0.3605281114578247,0.5123546123504639,0.6655492782592773,0.7582982182502747,0.8235403299331665
target,gamma_s1,global_generic,3,50,1214,0.5936261941072772,0.341996705532074,0.4520154818892479,0.6175642907619476,0.727935403585434,0.8068467438220979
target,gamma_s1,global_generic,3,75,905,0.6245455488809565,0.36117773652076723,0.5121116638183594,0.664036750793457,0.7567432522773743,0.82405766248703
target,gamma_s1,det_pseudo,1,50,1212,0.5958845888943759,0.34285047054290774,0.46255645900964737,0.6186367571353912,0.7315113097429276,0.8038558840751648
target,gamma_s1,det_pseudo,1,75,891,0.6304150089437579,0.3721386194229126,0.5219302475452423,0.6703665256500244,0.7588449418544769,0.8239443302154541
