group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
block_1,source,det_pseudo_half_dose,contrast_s1,39.53519593285239,59.38386868127047,42.889121529935245,-0.08886656735319076,0.08833729380292032,0.2307375274538115,-0.04470325670324904,-0.13943281424763088,-0.1595780042063344
block_1,source,det_pseudo_half_dose,contrast_s2,35.37076903641693,52.74364611770801,39.05981366220875,0.021559423508005215,-0.16369028518203876,0.007837923424286464,0.02888496659780304,-0.32638531589402886,0.6394393850403357
block_1,source,det_pseudo_half_dose,color_cast_s1,40.68266902333181,59.54129451824654,45.44249544515095,0.1538499398851645,-0.004450647188425361,-0.051824705396796844,-0.12928651188225393,-0.21371658352014045,0.008531276064327464
block_1,source,det_pseudo_half_dose,color_cast_s2,39.16489656472123,58.17898378714873,43.431687450577094,-0.15538971024404158,-0.1659306443096864,-0.4492810959358551,-0.09038721413289763,0.05572880791105961,0.16859628757273093
block_1,source,det_pseudo_half_dose,clean_s0,41.18332677857273,61.66911657460167,44.466703392757964,-0.08761966285533718,-0.012451770569854581,-0.000573075222831676,0.10610218874222421,0.22979854354479023,-0.12256505706615406
block_1,target,no_adapt,gamma_s1,42.65484259706997,59.56379932185762,46.16980025819385,0.0,0.0,0.0,0.3541950330352539,0.4418025258518199,0.5070026795519877
block_1,target,no_adapt,gamma_s2,40.883697368912664,57.9695906627674,43.997020609276554,0.0,0.0,0.0,0.11704927705566415,-0.0015891059910955185,0.3866807179222276
block_1,target,no_adapt,contrast_s1,41.42677135187027,58.00046750573308,43.78070901872806,0.0,0.0,0.0,-0.4729139165075502,-0.43491366663821474,-0.5574272615531783
block_1,target,no_adapt,contrast_s2,36.99934149950788,51.99013816741086,39.148319716438216,0.0,0.0,0.0,-0.4807111542573683,-0.5845260217668846,-0.23439683336194395
block_1,target,no_adapt,color_cast_s1,42.51084418595082,59.30378308269192,44.72865443048014,0.0,0.0,0.0,-0.08545880837124709,-0.10352327669270744,0.19924311815293638
block_1,target,no_adapt,color_cast_s2,40.61898322023672,57.315519805140156,42.241692035153555,0.0,0.0,0.0,0.006616913699236671,-0.11365567373796681,0.1355398410490538
block_1,target,no_adapt,clean_s0,43.32958702135748,60.71405139484083,46.235260171369355,0.0,0.0,0.0,-0.06763660872516342,0.04228651369464487,-0.4768603719864095
block_1,target,det_pseudo_clip_radius,gamma_s1,42.30064756403472,59.1219967960058,45.662797578641865,-0.3541950330352539,-0.4418025258518199,-0.5070026795519877,0.0,0.0,0.0
block_1,target,det_pseudo_clip_radius,gamma_s2,40.766648091857,57.971179768758496,43.61033989135433,-0.11704927705566415,0.0015891059910955185,-0.3866807179222276,0.0,0.0,0.0
block_1,target,det_pseudo_clip_radius,contrast_s1,41.89968526837782,58.435381172371294,44.33813628028124,0.4729139165075502,0.43491366663821474,0.5574272615531783,0.0,0.0,0.0
block_1,target,det_pseudo_clip_radius,contrast_s2,37.48005265376524,52.574664189177746,39.382716549800165,0.4807111542573683,0.5845260217668846,0.23439683336194395,0.0,0.0,0.0
block_1,target,det_pseudo_clip_radius,color_cast_s1,42.59630299432207,59.40730635938463,44.529411312327206,0.08545880837124709,0.10352327669270744,-0.19924311815293638,0.0,0.0,0.0
block_1,target,det_pseudo_clip_radius,color_cast_s2,40.61236630653748,57.42917547887812,42.1061521941045,-0.006616913699236671,0.11365567373796681,-0.1355398410490538,0.0,0.0,0.0
block_1,target,det_pseudo_clip_radius,clean_s0,43.39722363008264,60.67176488114618,46.712120543355766,0.06763660872516342,-0.04228651369464487,0.4768603719864095,0.0,0.0,0.0
block_1,target,det_pseudo_half_dose,gamma_s1,42.540908735814455,59.31689349067268,45.91679981590412,-0.11393386125552185,-0.24690583118494036,-0.2530004422897303,0.24026117177973205,0.19489669466687953,0.25400223726225746
